"Township","Area","State","Median_Price","Median_PSF","Transactions","Multi_Type","Primary_Type","Freehold","Leasehold","Primary_Tenure","Log_Median_Price","Log_Median_PSF","Log_Transactions"
"bandar jaya putra","ulu tiram","johor",620000,501,62,0,"terrace house",1,0,1,13.3374747570213,6.21660610108486,4.12713438504509
"taman sri muda","shah alam","selangor",330000,321,61,0,"terrace house",1,0,1,12.7068479334427,5.77144112313002,4.11087386417331
"taman penawar harmoni","pengerang","johor",80000,67,60,0,"terrace house",0,1,0,11.289781913656,4.20469261939097,4.0943445622221
"taman gadong jaya","labu","negeri sembilan",280000,207,60,1,"terrace house",1,0,1,12.5425448821514,5.33271879326537,4.0943445622221
"taman molek","johor bahru","johor",6e+05,322,60,0,"terrace house",1,0,1,13.3046849341983,5.77455154554441,4.0943445622221
"alam sari bangi","bangi","selangor",857000,416,60,1,"terrace house",1,0,1,13.6611931975799,6.03068526026126,4.0943445622221
"bandar sungai buaya","serendah","selangor",3e+05,188,60,0,"terrace house",0,1,0,12.6115377536383,5.23644196282995,4.0943445622221
"sri putramas","jalan kuching","kuala lumpur",650000,619,60,0,"condominium",1,0,1,13.3847276418718,6.4281052726846,4.0943445622221
"taman ria","sungai petani","kedah",220000,152,59,0,"terrace house",1,0,1,12.3013828253345,5.02388052084628,4.07753744390572
"kota puteri bandar baru batu arang","batu arang","selangor",590000,272,59,0,"terrace house",0,1,0,13.2878778158819,5.605802066296,4.07753744390572
"taman samarindah","kota samarahan","sarawak",3e+05,168,59,0,"terrace house",1,1,1,12.6115377536383,5.12396397940326,4.07753744390572
"taman tunku","miri","sarawak",288000,182,59,0,"terrace house",0,1,0,12.5707157591181,5.2040066870768,4.07753744390572
"royal domain sri putramas 2","jalan kuching","kuala lumpur",850000,669,59,0,"condominium",1,0,1,13.6529916284665,6.50578406012823,4.07753744390572
"setia ecohill","semenyih","selangor",670000,354,58,0,"terrace house",1,0,1,13.4150329913671,5.86929691313377,4.06044301054642
"ss2 petaling jaya","petaling jaya","selangor",1120000,625,58,0,"terrace house",1,0,1,13.9288392432713,6.4377516497364,4.06044301054642
"ambang botanic","klang","selangor",1590000,546,58,1,"semi d",1,0,1,14.2792445741964,6.30261897574491,4.06044301054642
"bandar tasek mutiara","simpang ampat","penang",425000,270,58,0,"terrace house",1,0,1,12.9598444479066,5.59842195899838,4.06044301054642
"eco majestic","beranang","selangor",854000,431,58,1,"cluster house",1,0,1,13.6576864727707,6.06610809010375,4.06044301054642
"taman tasik indah","kluang","johor",614000,258,58,0,"terrace house",1,0,1,13.3277502071293,5.55295958492162,4.06044301054642
"taman krubong heights","krubong","melaka",405800,290,57,0,"terrace house",1,0,1,12.9136157063739,5.66988092298052,4.04305126783455
"taman kamunting pelangi","taiping","perak",299000,203,57,0,"terrace house",1,0,1,12.6081988523728,5.31320597904179,4.04305126783455
"taman puncak ceria (idaman hills)","kluang","johor",538000,253,57,0,"terrace house",1,0,1,13.1956138391439,5.53338948872752,4.04305126783455
"taman nusa bayu","iskandar puteri (nusajaya)","johor",6e+05,464,57,0,"terrace house",1,0,1,13.3046849341983,6.13988455222626,4.04305126783455
"bandar laguna merbok (teres)","sungai petani","kedah",4e+05,264,57,0,"terrace house",1,0,1,12.8992198260901,5.57594910314632,4.04305126783455
"palm spring @ damansara","kota damansara","selangor",530000,525,57,0,"condominium",0,1,0,13.1806322855283,6.26339826259162,4.04305126783455
"taman perakku serdang","sitiawan","perak",116000,50,56,0,"terrace house",0,1,0,11.6613454700885,3.91202300542815,4.02535169073515
"bandar seri alam","masai","johor",496500,305,56,0,"terrace house",1,0,1,13.1153387624674,5.72031177660741,4.02535169073515
"bandar jasin bistari","bemban","melaka",230435,150,56,0,"terrace house",0,1,0,12.347724105989,5.01063529409626,4.02535169073515
"bertam perdana","kepala batas","penang",310000,260,55,1,"cluster house",1,0,1,12.6443275764613,5.56068163101553,4.00733318523247
"bandar puteri jaya seksyen 1","sungai petani","kedah",228000,200,55,0,"terrace house",1,0,1,12.3371009079366,5.29831736654804,4.00733318523247
"taman mount austin","tebrau","johor",7e+05,441,55,1,"terrace house",1,0,1,13.4588356140255,6.08904487544685,4.00733318523247
"residensi merbok","nibong tebal","penang",960000,274,55,1,"semi d",1,0,1,13.774688563444,5.61312810638807,4.00733318523247
"taman desa impian 2 (fasa 2)","bukit mertajam","penang",9e+05,311,54,0,"semi d",1,0,1,13.7101500423064,5.73979291217923,3.98898404656427
"lake garden residence(taman klebang tekoma","ipoh","perak",499800,357,54,1,"terrace house",0,1,0,13.121963297383,5.87773578177964,3.98898404656427
"bandar botanic","klang","selangor",767500,468,54,0,"terrace house",1,0,1,13.5508937584435,6.14846829591765,3.98898404656427
"taman sri saujana","kota tinggi","johor",380000,271,54,0,"terrace house",1,0,1,12.8479265317026,5.6021188208797,3.98898404656427
"bandar amanjaya (kemboja)","sungai petani","kedah",230000,165,54,0,"terrace house",1,0,1,12.3458345879053,5.10594547390058,3.98898404656427
"seksyen 2 wangsa maju flat","wangsa maju","kuala lumpur",224500,380,54,0,"flat",0,1,0,12.3216309861644,5.94017125272043,3.98898404656427
"melinsung summer bay resort","papar","sabah",115000,218,54,0,"apartment",0,1,0,11.6526874073454,5.38449506278909,3.98898404656427
"taman politeknik","telok kemang","negeri sembilan",230000,177,53,0,"terrace house",1,0,1,12.3458345879053,5.17614973257383,3.97029191355212
"kuala berang","hulu terengganu","terengganu",2e+05,62,53,1,"bungalow",1,1,1,12.2060726455302,4.12713438504509,3.97029191355212
"taman alamanda, bandar baru segari","lumut","perak",155500,120,53,0,"terrace house",0,1,0,11.9544010106014,4.78749174278205,3.97029191355212
"taman puncak kasih merlimau pasir","merlimau","melaka",179800,127,53,0,"terrace house",1,0,1,12.0996004010197,4.84418708645859,3.97029191355212
"taman nusantara","iskandar puteri (nusajaya)","johor",420000,372,53,0,"terrace house",1,0,1,12.9480099902596,5.91889385427315,3.97029191355212
"taman nusa bestari 2","iskandar puteri (nusajaya)","johor",540000,363,53,0,"terrace house",1,0,1,13.1993244185405,5.89440283426485,3.97029191355212
"setia eco park","setia alam","selangor",2450000,534,53,1,"bungalow",1,0,1,14.7115985825209,6.2803958389602,3.97029191355212
"bandar tasik senangin","lenggeng","negeri sembilan",435000,105,53,0,"bungalow",1,0,1,12.9831013100708,4.65396035015752,3.97029191355212
"taman sentosa","johor bahru","johor",7e+05,321,53,1,"semi d",1,0,1,13.4588356140255,5.77144112313002,3.97029191355212
"taman langat utama 3","tanjong duabelas","selangor",410000,282,53,0,"terrace house",0,1,0,12.9239124386805,5.64190707093811,3.97029191355212
"amber 2 @ bukit sentosa","serendah","selangor",452000,385,52,0,"terrace house",1,0,1,13.0214374588144,5.95324333428778,3.95124371858143
"taman bukit senawang perdana","rantau","negeri sembilan",80000,67,52,0,"terrace house",1,0,1,11.289781913656,4.20469261939097,3.95124371858143
"kota emerald","rawang","selangor",795000,383,52,1,"terrace house",1,0,1,13.5860973936365,5.94803498918065,3.95124371858143
